uri	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	id	duration_ms	time_signature	playlist_pid	avg_duration	mode_key	dance_energy_corr
spotify:track:6Ius4TC0L3cN74HT7ENE6e	0.517	0.705	6	-8.205	0	0.364	0.0751	0.0	0.128	0.584	175.906	6Ius4TC0L3cN74HT7ENE6e	239320	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:4T59DvWWX2MyNfxspPvoZ8	0.64	0.312	6	-14.829	1	0.562	0.247	0.0	0.0767	0.698	95.128	4T59DvWWX2MyNfxspPvoZ8	147696	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:5Fim1gaXBgsiFfsQAfQSDS	0.832	0.608	6	-6.042	0	0.0385	0.282	0.0	0.0761	0.589	94.013	5Fim1gaXBgsiFfsQAfQSDS	198707	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:7xVLFuuYdAvcTfcP3IG3dS	0.841	0.733	1	-5.077	1	0.142	0.0246	0.0	0.174	0.284	130.009	7xVLFuuYdAvcTfcP3IG3dS	283693	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:0gpFiquPvir7e3RrM4kii9	0.787	0.743	1	-4.206	1	0.0642	0.061	0.0	0.294	0.454	102.076	0gpFiquPvir7e3RrM4kii9	300000	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:1gpSrGUfU3F9TOzPlEyLxH	0.512	0.599	7	-7.29	0	0.0831	0.00278	0.0	0.0803	0.146	109.345	1gpSrGUfU3F9TOzPlEyLxH	214720	5	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:0uMUvbkTdjBNZ5UuHZ5PIj	0.644	0.469	1	-9.117	0	0.238	0.179	0.0	0.658	0.615	79.991	0uMUvbkTdjBNZ5UuHZ5PIj	180675	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:4GVD0FIBo08FSAy3tbIY7g	0.734	0.892	2	-1.856	1	0.125	0.0648	0.0	0.58	0.605	138.031	4GVD0FIBo08FSAy3tbIY7g	303533	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:3Eq7yD58dIXqOgw1j7NFhY	0.612	0.593	1	-6.294	1	0.458	0.0395	0.0	0.484	0.883	130.583	3Eq7yD58dIXqOgw1j7NFhY	223173	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:7yyRTcZmCiyzzJlNzGC9Ol	0.886	0.525	8	-7.39	1	0.131	0.236	0.0	0.057	0.708	145.99	7yyRTcZmCiyzzJlNzGC9Ol	225205	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:4kNvYhyl8R6m1vykVkcuBu	0.67	0.515	1	-6.977	1	0.397	0.0705	0.0	0.25	0.422	122.006	4kNvYhyl8R6m1vykVkcuBu	270867	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:1uDjaezEbalGyGnuH80zDK	0.676	0.415	9	-9.752	1	0.508	0.0281	0.0	0.0915	0.146	193.206	1uDjaezEbalGyGnuH80zDK	233507	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:4X5f3vT8MRuXF68pfjNte5	0.853	0.693	1	-6.87	1	0.275	0.0239	0.0	0.11	0.662	95.967	4X5f3vT8MRuXF68pfjNte5	233787	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:2xbI8Vmyv3TkpTdywpPyNw	0.638	0.6	1	-5.84	0	0.0438	0.114	0.0	0.187	0.0399	101.981	2xbI8Vmyv3TkpTdywpPyNw	245604	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:4TnUKixNWMfajncgdSwFoi	0.606	0.361	9	-16.031	1	0.0346	0.264	3.39e-05	0.38	0.621	121.059	4TnUKixNWMfajncgdSwFoi	173467	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:2YnZVGFZL9xf3TQIyOvSYQ	0.951	0.892	9	-4.387	0	0.193	0.192	0.000185	0.325	0.791	131.023	2YnZVGFZL9xf3TQIyOvSYQ	196608	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:1lItf5ZXJc1by9SbPeljFd	0.807	0.887	1	-3.892	1	0.275	0.00381	0.0	0.391	0.78	160.517	1lItf5ZXJc1by9SbPeljFd	144244	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:75hFExjmjmntuXy1nL07Yn	0.576	0.863	10	-7.125	0	0.0629	0.06	0.0	0.741	0.648	95.005	75hFExjmjmntuXy1nL07Yn	311896	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:0dZrBg8KDALRfrs7WbdzIo	0.454	0.801	10	-7.059	1	0.274	0.187	0.0	0.666	0.555	123.109	0dZrBg8KDALRfrs7WbdzIo	284746	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:1w3GROIHTrzWZcQwDJOsKD	0.428	0.701	5	-8.336	1	0.0404	0.125	6.26e-06	0.7	0.295	144.026	1w3GROIHTrzWZcQwDJOsKD	336949	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:4JtjRsELCoua9UQ4WincJC	0.563	0.968	1	-7.101	1	0.152	0.0603	0.0	0.94	0.448	105.073	4JtjRsELCoua9UQ4WincJC	363120	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:3V4I3SOSU7ar2hEE6lW1U6	0.255	0.777	8	-8.115	1	0.0805	0.108	0.0	0.838	0.258	189.815	3V4I3SOSU7ar2hEE6lW1U6	305167	3	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:5WMOLybigamGWjgVkq9e8a	0.299	0.332	2	-9.781	1	0.0274	0.78	0.0	0.953	0.163	85.95	5WMOLybigamGWjgVkq9e8a	342334	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:5yQna7X2ma4SEQUMPJcCwp	0.402	0.592	6	-8.403	1	0.0391	0.335	0.0	0.678	0.286	149.801	5yQna7X2ma4SEQUMPJcCwp	422249	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:4OFIjD7j8kqtJc0COEPhjO	0.563	0.874	2	-7.117	1	0.0664	0.143	0.0	0.936	0.49	129.991	4OFIjD7j8kqtJc0COEPhjO	312730	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:7nLkhQRqfRMJ9QHMiioJge	0.66	0.928	3	-7.318	0	0.0793	0.105	0.0	0.719	0.66	110.057	7nLkhQRqfRMJ9QHMiioJge	280313	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:609g6cKh7VVLoa9ArvS5wg	0.457	0.634	0	-8.257	1	0.0429	0.433	0.0	0.72	0.479	155.891	609g6cKh7VVLoa9ArvS5wg	196624	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:39c1gEibQZ1zWxaqErx242	0.409	0.876	6	-6.663	1	0.0811	0.199	0.0	0.764	0.497	164.034	39c1gEibQZ1zWxaqErx242	255344	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:61vWyKxO5EHfyf4ZYYMvK8	0.492	0.803	11	-8.203	1	0.0414	0.0378	3.52e-06	0.859	0.273	90.007	61vWyKxO5EHfyf4ZYYMvK8	276839	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:0OC4dBmqNdLrDNyBzQnYQ4	0.426	0.632	2	-9.07	1	0.0499	0.345	0.0	0.666	0.101	135.945	0OC4dBmqNdLrDNyBzQnYQ4	345582	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:3446DSUbnXGnbITMVQow9Q	0.309	0.575	2	-10.366	1	0.0465	0.226	0.0	0.549	0.261	138.915	3446DSUbnXGnbITMVQow9Q	516445	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:5aNGFzDzJYvvD7KT2mjZ2r	0.463	0.473	1	-6.37	1	0.0309	0.462	1.42e-06	0.0742	0.0657	125.853	5aNGFzDzJYvvD7KT2mjZ2r	391962	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:3ZVXasAqd7vgeI4gX7JwzF	0.482	0.459	2	-9.895	1	0.0295	0.104	0.0	0.0837	0.312	106.016	3ZVXasAqd7vgeI4gX7JwzF	418868	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:3ay6jO8OSF62Bk215k9nXH	0.48	0.985	6	-8.081	1	0.692	0.778	0.0	0.981	0.309	54.875	3ay6jO8OSF62Bk215k9nXH	45760	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:4YCZ8LKdskBs7x8yCrKqsV	0.544	0.919	4	-2.755	1	0.0623	0.0903	0.0	0.969	0.499	144.877	4YCZ8LKdskBs7x8yCrKqsV	292013	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:2PRQsIt6wpNm6yssyK0Wsi	0.405	0.618	0	-4.659	1	0.0379	0.653	0.0	0.714	0.15	139.811	2PRQsIt6wpNm6yssyK0Wsi	452733	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:3nQFJv4S1HqDIpCaOpjICI	0.271	0.0349	7	-17.105	0	0.0348	0.896	0.278	0.251	0.0784	147.544	3nQFJv4S1HqDIpCaOpjICI	72467	3	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:1rcXL4m3IOdvsCrIsT7Nsn	0.223	0.688	2	-3.592	0	0.04	0.179	0.000802	0.52	0.1	90.71	1rcXL4m3IOdvsCrIsT7Nsn	462880	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:4Z8Bwk1se3e0MAckYUyef5	0.655	0.834	1	-2.806	1	0.119	0.336	0.0	0.719	0.443	119.995	4Z8Bwk1se3e0MAckYUyef5	368067	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:2SEQLcJ2qsFyKpBOFuBb16	0.478	0.603	7	-5.651	1	0.0305	0.261	0.0	0.714	0.152	135.998	2SEQLcJ2qsFyKpBOFuBb16	332773	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:6j6ki1x6DL6bCvQSHUYfNp	0.382	0.653	0	-6.437	1	0.0411	0.251	0.0	0.963	0.153	143.808	6j6ki1x6DL6bCvQSHUYfNp	305827	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:6ng2ivCcXfxN160Olr5TGp	0.561	0.895	8	-3.309	1	0.0844	0.0264	0.0	0.695	0.557	147.944	6ng2ivCcXfxN160Olr5TGp	260973	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:3pmim1hbOe8T6C1bQPREKa	0.406	0.566	11	-4.321	1	0.0306	0.262	0.0	0.721	0.144	129.968	3pmim1hbOe8T6C1bQPREKa	324560	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:0oWIuNKwXS3WiAK86kkfwX	0.392	0.683	8	-2.056	1	0.0777	0.318	0.0	0.91	0.553	111.995	0oWIuNKwXS3WiAK86kkfwX	306893	3	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:2OF9jztbgZyu6L4ZrvsUV3	0.615	0.907	1	-2.309	1	0.1	0.0677	0.0	0.319	0.687	124.977	2OF9jztbgZyu6L4ZrvsUV3	435773	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:3bAVXjHB9KBUoFKKnh6uUa	0.41	0.425	6	-7.494	1	0.0303	0.168	0.00612	0.122	0.102	133.856	3bAVXjHB9KBUoFKKnh6uUa	459320	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:5TORxspMhwHrZpgNV44Zsm	0.275	0.827	1	-6.227	0	0.151	0.00996	0.0	0.961	0.479	163.46	5TORxspMhwHrZpgNV44Zsm	279537	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:3yv167kqXP1bltsYr7vdDW	0.247	0.779	2	-5.436	1	0.126	0.0735	0.0	0.735	0.339	190.027	3yv167kqXP1bltsYr7vdDW	352560	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:4Be5OppEnVognKlHUIN0v6	0.489	0.973	1	-4.571	1	0.42	0.0146	0.0	0.197	0.509	160.101	4Be5OppEnVognKlHUIN0v6	505773	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:2Z0A7W013G7P0byg4GNtse	0.279	0.664	0	-5.613	0	0.0389	0.0152	0.0	0.11	0.0527	144.168	2Z0A7W013G7P0byg4GNtse	328973	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:1WudEdNmW7SJtobDgpZqLq	0.61	0.865	1	-3.045	0	0.0401	0.00516	0.0	0.365	0.408	134.968	1WudEdNmW7SJtobDgpZqLq	292448	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:1lEk3U3MzbDeL5MNHkE9JU	0.256	0.564	11	-6.496	1	0.0366	0.00274	0.0	0.743	0.152	139.914	1lEk3U3MzbDeL5MNHkE9JU	349587	3	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:1yYUIjT3bZ9RB9vejqYy9f	0.396	0.521	2	-7.093	1	0.0312	0.0101	0.0	0.884	0.126	135.742	1yYUIjT3bZ9RB9vejqYy9f	341080	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:0zkyplku4wDUCYlMJd5vTu	0.552	0.647	2	-10.266	1	0.0506	0.113	0.0	0.386	0.3	80.009	0zkyplku4wDUCYlMJd5vTu	378811	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:7JJ7kHIZNoLmryN1Ia9bRY	0.507	0.728	5	-6.067	1	0.0404	0.458	0.0	0.667	0.403	76.995	7JJ7kHIZNoLmryN1Ia9bRY	299547	4	Road_52001	331829.55263157893	2	0.5180837096032096
spotify:track:3e0yTP5trHBBVvV32jwXqF	0.472	0.844	10	-6.578	1	0.054	0.00173	0.0	0.24	0.34	140.034	3e0yTP5trHBBVvV32jwXqF	321280	4	bea_52002	223238.73333333334	5	0.0473595155113175
spotify:track:6WhzFzROw3aq3rPWjgYlxr	0.6	0.412	8	-9.343	1	0.344	0.615	0.0025	0.134	0.408	113.049	6WhzFzROw3aq3rPWjgYlxr	225882	5	bea_52002	223238.73333333334	5	0.0473595155113175
spotify:track:2ZWlPOoWh0626oTaHrnl2a	0.567	0.388	9	-9.579	0	0.0384	0.782	0.000309	0.248	0.452	116.362	2ZWlPOoWh0626oTaHrnl2a	249191	4	bea_52002	223238.73333333334	5	0.0473595155113175
spotify:track:3NWTRZ0A8xKlBP1qgNftql	0.795	0.409	9	-10.134	0	0.0859	0.183	0.00108	0.112	0.518	120.095	3NWTRZ0A8xKlBP1qgNftql	176187	4	bea_52002	223238.73333333334	5	0.0473595155113175
spotify:track:562oeuAN5GH85iE7FQVKSB	0.62	0.851	4	-4.747	0	0.0352	0.00421	0.0	0.104	0.235	116.984	562oeuAN5GH85iE7FQVKSB	239252	4	bea_52002	223238.73333333334	5	0.0473595155113175
spotify:track:3ngf72nHIDWjsaagIVumuM	0.468	0.563	0	-5.847	1	0.301	0.319	0.0	0.292	0.462	112.094	3ngf72nHIDWjsaagIVumuM	180787	4	bea_52002	223238.73333333334	5	0.0473595155113175
spotify:track:3HooZZPp0evFShqaJ2Pwer	0.8	0.569	1	-6.843	0	0.119	0.00545	0.000319	0.0542	0.325	119.954	3HooZZPp0evFShqaJ2Pwer	269840	4	bea_52002	223238.73333333334	5	0.0473595155113175
spotify:track:5aJTZeT2gG6fPegxhd0303	0.695	0.848	5	-4.669	0	0.0734	0.00156	1.08e-05	0.12	0.744	133.928	5aJTZeT2gG6fPegxhd0303	201992	4	bea_52002	223238.73333333334	5	0.0473595155113175
spotify:track:5Dg2h1wsm7ZijCo0yLmbvR	0.586	0.83	0	-5.375	1	0.0416	0.00823	0.0028	0.348	0.486	120.017	5Dg2h1wsm7ZijCo0yLmbvR	223082	4	bea_52002	223238.73333333334	5	0.0473595155113175
spotify:track:6i40XRqEwHAnSxwZWasMRp	0.492	0.504	10	-6.322	1	0.0473	0.238	0.0	0.153	0.262	152.855	6i40XRqEwHAnSxwZWasMRp	203333	4	bea_52002	223238.73333333334	5	0.0473595155113175
spotify:track:5J4WHWFvEWRd2FBVhcTcmi	0.795	0.749	1	-3.604	1	0.0525	0.179	0.0	0.0875	0.761	115.003	5J4WHWFvEWRd2FBVhcTcmi	223040	4	bea_52002	223238.73333333334	5	0.0473595155113175
spotify:track:12mdismP79kAQrKDgdM4TC	0.645	0.929	5	-2.0	0	0.117	0.138	0.0	0.269	0.815	150.021	12mdismP79kAQrKDgdM4TC	182833	4	bea_52002	223238.73333333334	5	0.0473595155113175
spotify:track:4zYTZvtcww7OWKie7fxA9E	0.667	0.773	5	-4.983	0	0.0586	0.201	0.0	0.404	0.667	89.976	4zYTZvtcww7OWKie7fxA9E	250707	4	bea_52002	223238.73333333334	5	0.0473595155113175
spotify:track:5H3TCfiw0CQTX1XU7A9TXM	0.518	0.655	8	-6.255	1	0.0826	0.381	0.0	0.271	0.29	156.992	5H3TCfiw0CQTX1XU7A9TXM	199682	4	bea_52002	223238.73333333334	5	0.0473595155113175
spotify:track:6KI1ZpZWYAJLvmVhCJz65G	0.332	0.635	7	-5.653	1	0.0898	0.159	2.79e-06	0.0599	0.261	186.249	6KI1ZpZWYAJLvmVhCJz65G	201493	3	bea_52002	223238.73333333334	5	0.0473595155113175
spotify:track:3GhpKfHi4edoVM31Uc5P9F	0.211	0.558	7	-6.056	1	0.0343	0.0448	2.75e-05	0.351	0.0871	127.187	3GhpKfHi4edoVM31Uc5P9F	508800	4	feel good_52003	302328.8333333333	2	0.3919013199269648
spotify:track:0eI19vR5WZ12fuYcEFUVkw	0.516	0.905	11	-5.613	1	0.0399	0.000479	0.0	0.198	0.612	129.999	0eI19vR5WZ12fuYcEFUVkw	258453	4	feel good_52003	302328.8333333333	2	0.3919013199269648
spotify:track:37sWianweYMt42ZoSABn6y	0.434	0.663	10	-5.769	1	0.0329	0.0414	0.0	0.107	0.311	75.025	37sWianweYMt42ZoSABn6y	247677	4	feel good_52003	302328.8333333333	2	0.3919013199269648
spotify:track:6WpRgphjsnA2i5B0dEkWp1	0.543	0.932	7	-5.368	1	0.0611	0.00524	1.09e-05	0.825	0.445	105.045	6WpRgphjsnA2i5B0dEkWp1	187360	4	feel good_52003	302328.8333333333	2	0.3919013199269648
spotify:track:1CvoOXxJqC2VHwgjZxjGX5	0.43	0.606	9	-4.583	1	0.0275	0.293	0.0	0.107	0.191	145.047	1CvoOXxJqC2VHwgjZxjGX5	293398	3	feel good_52003	302328.8333333333	2	0.3919013199269648
spotify:track:5Mw9bXG1dLNhbjofkVS2oR	0.262	0.361	2	-10.187	1	0.0333	0.508	0.00268	0.108	0.056	126.786	5Mw9bXG1dLNhbjofkVS2oR	535963	4	feel good_52003	302328.8333333333	2	0.3919013199269648
spotify:track:39mcodzxm2M8FgxVsUzV9K	0.541	0.7	8	-6.971	0	0.0279	0.209	0.0	0.113	0.33	96.071	39mcodzxm2M8FgxVsUzV9K	225547	4	feel good_52003	302328.8333333333	2	0.3919013199269648
spotify:track:4YdnWnXUp0X0Rzx9p9bdKr	0.443	0.933	1	-3.99	0	0.0697	0.00515	0.0	0.866	0.274	142.958	4YdnWnXUp0X0Rzx9p9bdKr	318907	4	feel good_52003	302328.8333333333	2	0.3919013199269648
spotify:track:7i2ZmmyLzE7NcFAJl30mKY	0.411	0.611	2	-4.719	1	0.0298	0.0751	0.000221	0.0762	0.138	140.002	7i2ZmmyLzE7NcFAJl30mKY	258627	4	feel good_52003	302328.8333333333	2	0.3919013199269648
spotify:track:6I40ZPL4cb2buc3A7sH5YL	0.215	0.395	11	-8.716	1	0.0339	0.0616	8.11e-06	0.254	0.158	135.893	6I40ZPL4cb2buc3A7sH5YL	452520	4	feel good_52003	302328.8333333333	2	0.3919013199269648
spotify:track:7CC5wCbUKZtyfrruQgp86v	0.329	0.253	1	-9.842	1	0.0298	0.906	3.67e-06	0.11	0.211	135.97	7CC5wCbUKZtyfrruQgp86v	237867	4	feel good_52003	302328.8333333333	2	0.3919013199269648
spotify:track:6NXaZTK2rnbA91jOEc3t1h	0.434	0.629	10	-4.764	1	0.0266	0.137	0.0	0.0909	0.272	153.38	6NXaZTK2rnbA91jOEc3t1h	239787	3	feel good_52003	302328.8333333333	2	0.3919013199269648
spotify:track:5C64H6dEsQ15bS9gp0D3Xr	0.512	0.814	10	-5.467	1	0.0327	0.0042	0.0	0.0991	0.273	97.997	5C64H6dEsQ15bS9gp0D3Xr	279787	4	feel good_52003	302328.8333333333	2	0.3919013199269648
spotify:track:7Ixg46P3JIo0krwFmuKySd	0.529	0.828	11	-5.846	1	0.0341	0.132	3.87e-06	0.0786	0.227	144.929	7Ixg46P3JIo0krwFmuKySd	281000	4	feel good_52003	302328.8333333333	2	0.3919013199269648
spotify:track:6fISvlxZO0DgUHRuRDZ8RH	0.636	0.24	2	-9.039	1	0.0295	0.792	0.0	0.104	0.212	125.011	6fISvlxZO0DgUHRuRDZ8RH	302293	4	feel good_52003	302328.8333333333	2	0.3919013199269648
spotify:track:16GkVOI0JN3tVm1UkHm5zP	0.498	0.745	9	-5.835	1	0.0455	0.00493	0.0	0.284	0.4	145.023	16GkVOI0JN3tVm1UkHm5zP	263933	4	feel good_52003	302328.8333333333	2	0.3919013199269648
spotify:track:7aET7XMbUjq8pvWm5lfQjU	0.527	0.802	8	-6.074	0	0.0323	0.04	0.000956	0.316	0.353	97.995	7aET7XMbUjq8pvWm5lfQjU	196000	4	feel good_52003	302328.8333333333	2	0.3919013199269648
spotify:track:5up1WohyISGpi6lsOEwRLy	0.473	0.282	2	-10.009	1	0.0317	0.756	2.91e-06	0.113	0.209	125.268	5up1WohyISGpi6lsOEwRLy	354000	4	feel good_52003	302328.8333333333	2	0.3919013199269648
spotify:track:30WYuFloWZ9CoFsxGCEfSP	0.901	0.442	4	-10.618	0	0.143	0.401	8.65e-05	0.102	0.322	112.016	30WYuFloWZ9CoFsxGCEfSP	276807	4	pt2_52004	210695.44761904763	1	-0.08283595356113665
spotify:track:2MNv9hlHsQUlxG00IKNxUY	0.736	0.806	7	-2.709	1	0.328	0.0298	0.0	0.0847	0.763	119.936	2MNv9hlHsQUlxG00IKNxUY	183996	5	pt2_52004	210695.44761904763	1	-0.08283595356113665
spotify:track:0k6ItoyE50QuW50nGYLO2v	0.651	0.749	5	-3.707	0	0.0412	0.188	0.0	0.0723	0.93	150.019	0k6ItoyE50QuW50nGYLO2v	212334	4	pt2_52004	210695.44761904763	1	-0.08283595356113665
spotify:track:0hRVm06wtH5HsmPetg1W9t	0.469	0.819	3	-3.469	0	0.306	0.0592	0.0	0.178	0.334	89.013	0hRVm06wtH5HsmPetg1W9t	207027	4	pt2_52004	210695.44761904763	1	-0.08283595356113665
spotify:track:7HBdWZuUvBZknTBi4mHsAj	0.597	0.938	10	-3.647	0	0.108	0.191	0.0	0.257	0.743	87.003	7HBdWZuUvBZknTBi4mHsAj	180015	4	pt2_52004	210695.44761904763	1	-0.08283595356113665
spotify:track:1Jg92FCIcH6fcAl30QZfZi	0.678	0.722	11	-4.268	1	0.266	0.108	0.0	0.0888	0.278	142.075	1Jg92FCIcH6fcAl30QZfZi	205152	4	pt2_52004	210695.44761904763	1	-0.08283595356113665
spotify:track:7fvcMpmlm0e0sdozrz4tf2	0.613	0.682	3	-10.543	0	0.158	0.345	0.00221	0.178	0.78	80.502	7fvcMpmlm0e0sdozrz4tf2	195529	4	pt2_52004	210695.44761904763	1	-0.08283595356113665
